Time (Hour-Ending),Date,ERCOT.LOAD,ERCOT.WIND.GEN,"Total Wind Installed, MW","Wind Output, % of Load","Wind Output, % of Installed",Wind 1-hr MW change,Wind 1-hr % change,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2022 16:00:00,Jan-02,46134,7611,34173,16.50,22.27,-1067,-12.30,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2022 17:00:00,Jan-02,46227,6175,34173,13.36,18.07,-1436,-18.87,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2022 18:00:00,Jan-02,48728,5080,34173,10.43,14.87,-1095,-17.73,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2022 19:00:00,Jan-02,51675,4875,34173,9.43,14.26,-206,-4.05,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2022 20:00:00,Jan-02,52376,4815,34173,9.19,14.09,-59,-1.22,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2022 21:00:00,Jan-02,52326,4928,34173,9.42,14.42,113,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2022 22:00:00,Jan-02,52011,4976,34173,9.57,14.56,47,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2022 23:00:00,Jan-02,50709,4909,34173,9.68,14.36,-67,-1.35,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2022 00:00:00,Jan-02,49444,4851,34173,9.81,14.19,-58,-1.18,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2022 01:00:00,Jan-03,48508,4907,34173,10.12,14.36,56,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2022 02:00:00,Jan-03,48268,5009,34173,10.38,14.66,102,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2022 03:00:00,Jan-03,48383,5128,34173,10.60,15.01,120,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2022 04:00:00,Jan-03,49061,5293,34173,10.79,15.49,165,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2022 05:00:00,Jan-03,50362,5672,34173,11.26,16.60,379,7.17,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2022 06:00:00,Jan-03,52624,6329,34173,12.03,18.52,656,11.57,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2022 07:00:00,Jan-03,55640,6560,34173,11.79,19.20,231,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2022 08:00:00,Jan-03,57623,7029,34173,12.20,20.57,470,7.16,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2022 09:00:00,Jan-03,57022,7639,34173,13.40,22.35,610,8.67,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2022 10:00:00,Jan-03,54317,5750,34173,10.59,16.83,-1889,-24.73,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2022 11:00:00,Jan-03,51490,4225,34173,8.21,12.36,-1525,-26.52,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2022 12:00:00,Jan-03,48693,5174,34173,10.63,15.14,949,22.46,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2022 13:00:00,Jan-03,46318,6505,34173,14.04,19.04,1331,25.73,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2022 14:00:00,Jan-03,44411,7276,34173,16.38,21.29,771,11.85,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2022 15:00:00,Jan-03,42985,8050,34173,18.73,23.56,774,10.64,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2022 16:00:00,Jan-03,42357,9179,34173,21.67,26.86,1129,14.02,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2022 17:00:00,Jan-03,42582,9580,34173,22.50,28.03,401,4.37,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2022 18:00:00,Jan-03,44934,9630,34173,21.43,28.18,49,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2022 19:00:00,Jan-03,48097,13319,34173,27.69,38.98,3689,38.31,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2022 20:00:00,Jan-03,49043,17740,34173,36.17,51.91,4421,33.19,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2022 21:00:00,Jan-03,49360,20555,34173,41.64,60.15,2815,15.87,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2022 22:00:00,Jan-03,48734,20723,34173,42.52,60.64,168,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2022 23:00:00,Jan-03,47184,20665,34173,43.80,60.47,-58,-0.28,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2022 00:00:00,Jan-03,45514,20612,34173,45.29,60.32,-53,-0.26,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2022 01:00:00,Jan-04,44414,20468,34173,46.08,59.89,-144,-0.70,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2022 02:00:00,Jan-04,43948,20226,34173,46.02,59.19,-242,-1.18,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2022 03:00:00,Jan-04,43944,19675,34173,44.77,57.57,-551,-2.72,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2022 04:00:00,Jan-04,44467,19265,34173,43.32,56.38,-410,-2.08,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2022 05:00:00,Jan-04,45757,19350,34173,42.29,56.62,85,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2022 06:00:00,Jan-04,48308,19921,34173,41.24,58.30,571,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2022 07:00:00,Jan-04,51822,19800,34173,38.21,57.94,-121,-0.61,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2022 08:00:00,Jan-04,53673,19543,34173,36.41,57.19,-258,-1.30,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2022 09:00:00,Jan-04,52662,18679,34173,35.47,54.66,-864,-4.42,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2022 10:00:00,Jan-04,50155,17128,34173,34.15,50.12,-1551,-8.30,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2022 11:00:00,Jan-04,47931,16899,34173,35.26,49.45,-229,-1.34,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2022 12:00:00,Jan-04,45799,17998,34173,39.30,52.67,1099,6.50,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2022 13:00:00,Jan-04,44121,18320,34173,41.52,53.61,322,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2022 14:00:00,Jan-04,42785,18105,34173,42.32,52.98,-215,-1.17,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2022 15:00:00,Jan-04,41716,17633,34173,42.27,51.60,-472,-2.61,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2022 16:00:00,Jan-04,41229,17044,34173,41.34,49.87,-589,-3.34,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2022 17:00:00,Jan-04,41362,15521,34173,37.53,45.42,-1522,-8.93,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2022 18:00:00,Jan-04,42508,13985,34173,32.90,40.92,-1537,-9.90,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2022 19:00:00,Jan-04,44558,14751,34173,33.10,43.16,766,5.48,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2022 20:00:00,Jan-04,44416,17123,34173,38.55,50.11,2373,16.09,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2022 21:00:00,Jan-04,43961,17881,34173,40.68,52.33,758,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2022 22:00:00,Jan-04,42702,17801,34173,41.69,52.09,-81,-0.45,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2022 23:00:00,Jan-04,40774,17456,34173,42.81,51.08,-344,-1.94,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2022 00:00:00,Jan-04,38938,16091,34173,41.33,47.09,-1365,-7.82,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2022 01:00:00,Jan-05,37726,15193,34173,40.27,44.46,-898,-5.58,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2022 02:00:00,Jan-05,37244,14766,34173,39.65,43.21,-428,-2.81,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2022 03:00:00,Jan-05,37271,14632,34173,39.26,42.82,-133,-0.90,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2022 04:00:00,Jan-05,37777,16355,34173,43.29,47.86,1723,11.77,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2022 05:00:00,Jan-05,39027,17353,34173,44.46,50.78,998,6.10,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2022 06:00:00,Jan-05,41490,17842,34173,43.00,52.21,488,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2022 07:00:00,Jan-05,45078,18196,34173,40.37,53.25,354,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2022 08:00:00,Jan-05,46897,18339,34173,39.11,53.67,143,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2022 09:00:00,Jan-05,46032,16565,34173,35.99,48.47,-1774,-9.68,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2022 10:00:00,Jan-05,44627,13494,34173,30.24,39.49,-3071,-18.54,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2022 11:00:00,Jan-05,43395,10981,34173,25.31,32.13,-2513,-18.62,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2022 12:00:00,Jan-05,42053,7615,34173,18.11,22.28,-3366,-30.65,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2022 13:00:00,Jan-05,41148,4900,34173,11.91,14.34,-2715,-35.65,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2022 14:00:00,Jan-05,40672,3363,34173,8.27,9.84,-1537,-31.37,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2022 15:00:00,Jan-05,40568,3095,34173,7.63,9.06,-267,-7.95,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2022 16:00:00,Jan-05,40576,3279,34173,8.08,9.59,183,5.92,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2022 17:00:00,Jan-05,40827,4165,34173,10.20,12.19,886,27.03,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2022 18:00:00,Jan-05,42027,4545,34173,10.81,13.30,380,9.12,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2022 19:00:00,Jan-05,43760,5626,34173,12.86,16.46,1081,23.78,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2022 20:00:00,Jan-05,43562,6514,34173,14.95,19.06,888,15.79,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2022 21:00:00,Jan-05,43091,7923,34173,18.39,23.18,1409,21.62,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2022 22:00:00,Jan-05,42042,9570,34173,22.76,28.00,1647,20.79,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2022 23:00:00,Jan-05,40288,11863,34173,29.45,34.72,2293,23.97,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2022 00:00:00,Jan-05,38523,14248,34173,36.99,41.69,2385,20.10,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2022 01:00:00,Jan-06,37470,14808,34173,39.52,43.33,560,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2022 02:00:00,Jan-06,37094,15346,34173,41.37,44.91,538,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2022 03:00:00,Jan-06,37297,15832,34173,42.45,46.33,486,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2022 04:00:00,Jan-06,37854,14931,34173,39.44,43.69,-901,-5.69,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2022 05:00:00,Jan-06,39130,16561,34173,42.32,48.46,1630,10.92,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2022 06:00:00,Jan-06,42019,18240,34173,43.41,53.38,1679,10.14,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2022 07:00:00,Jan-06,45926,19540,34173,42.55,57.18,1300,7.12,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2022 08:00:00,Jan-06,48281,20290,34173,42.03,59.38,751,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2022 09:00:00,Jan-06,48456,19579,34173,40.41,57.29,-711,-3.51,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2022 10:00:00,Jan-06,48169,18201,34173,37.79,53.26,-1378,-7.04,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2022 11:00:00,Jan-06,47732,17101,34173,35.83,50.04,-1100,-6.04,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2022 12:00:00,Jan-06,47166,15475,34173,32.81,45.28,-1626,-9.51,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2022 13:00:00,Jan-06,46446,13946,34173,30.03,40.81,-1529,-9.88,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2022 14:00:00,Jan-06,45777,10886,34173,23.78,31.86,-3060,-21.94,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2022 15:00:00,Jan-06,45301,8110,34173,17.90,23.73,-2777,-25.50,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2022 16:00:00,Jan-06,45117,6855,34173,15.19,20.06,-1255,-15.47,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2022 17:00:00,Jan-06,45855,6039,34173,13.17,17.67,-816,-11.90,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2022 18:00:00,Jan-06,47990,6074,34173,12.66,17.77,35,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2022 19:00:00,Jan-06,50709,7331,34173,14.46,21.45,1257,20.70,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2022 20:00:00,Jan-06,51101,8785,34173,17.19,25.71,1453,19.82,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2022 21:00:00,Jan-06,51073,9564,34173,18.73,27.99,779,8.87,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2022 22:00:00,Jan-06,50384,10052,34173,19.95,29.41,488,5.11,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2022 23:00:00,Jan-06,48795,9778,34173,20.04,28.61,-274,-2.73,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2022 00:00:00,Jan-06,47525,9565,34173,20.13,27.99,-212,-2.17,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2022 01:00:00,Jan-07,46688,9243,34374,19.80,26.89,-322,-3.37,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2022 02:00:00,Jan-07,46508,9096,34374,19.56,26.46,-147,-1.59,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2022 03:00:00,Jan-07,46678,8979,34374,19.24,26.12,-117,-1.29,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2022 04:00:00,Jan-07,47438,8612,34374,18.15,25.05,-367,-4.09,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2022 05:00:00,Jan-07,48745,8664,34374,17.77,25.21,52,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2022 06:00:00,Jan-07,51386,8951,34374,17.42,26.04,287,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2022 07:00:00,Jan-07,54969,8882,34374,16.16,25.84,-70,-0.78,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2022 08:00:00,Jan-07,56840,8882,34374,15.63,25.84,1,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2022 09:00:00,Jan-07,56672,7966,34374,14.06,23.18,-916,-10.31,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2022 10:00:00,Jan-07,55616,6326,34374,11.37,18.40,-1640,-20.59,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2022 11:00:00,Jan-07,54146,6219,34374,11.49,18.09,-107,-1.69,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2022 12:00:00,Jan-07,52306,7030,34374,13.44,20.45,811,13.04,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2022 13:00:00,Jan-07,50459,8526,34374,16.90,24.80,1496,21.28,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2022 14:00:00,Jan-07,49175,10127,34374,20.59,29.46,1601,18.78,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2022 15:00:00,Jan-07,48303,11139,34374,23.06,32.40,1012,9.99,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2022 16:00:00,Jan-07,48503,12127,34374,25.00,35.28,988,8.87,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2022 17:00:00,Jan-07,49117,13195,34374,26.87,38.39,1069,8.81,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2022 18:00:00,Jan-07,50025,14058,34374,28.10,40.90,862,6.53,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2022 19:00:00,Jan-07,51104,17244,34374,33.74,50.17,3187,22.67,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2022 20:00:00,Jan-07,50516,19658,34374,38.91,57.19,2414,14.00,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2022 21:00:00,Jan-07,49460,19581,34374,39.59,56.96,-77,-0.39,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2022 22:00:00,Jan-07,47948,19732,34374,41.15,57.40,151,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2022 23:00:00,Jan-07,45911,19635,34374,42.77,57.12,-97,-0.49,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2022 00:00:00,Jan-07,43907,19542,34374,44.51,56.85,-93,-0.47,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2022 01:00:00,Jan-08,42133,19383,34374,46.00,56.39,-159,-0.81,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2022 02:00:00,Jan-08,41051,19206,34374,46.79,55.87,-177,-0.91,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2022 03:00:00,Jan-08,40313,19157,34374,47.52,55.73,-49,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2022 04:00:00,Jan-08,40009,19114,34374,47.77,55.61,-43,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2022 05:00:00,Jan-08,39948,19098,34374,47.81,55.56,-16,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2022 06:00:00,Jan-08,40511,18781,34374,46.36,54.64,-317,-1.66,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2022 07:00:00,Jan-08,41460,18017,34374,43.46,52.42,-764,-4.07,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2022 08:00:00,Jan-08,42491,17633,34374,41.50,51.30,-385,-2.14,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2022 09:00:00,Jan-08,43638,17577,34374,40.28,51.14,-55,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2022 10:00:00,Jan-08,44380,15719,34374,35.42,45.73,-1859,-10.57,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2022 11:00:00,Jan-08,44722,14747,34374,32.97,42.90,-972,-6.18,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2022 12:00:00,Jan-08,44451,14328,34374,32.23,41.68,-419,-2.84,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2022 13:00:00,Jan-08,43915,14342,34374,32.66,41.72,14,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2022 14:00:00,Jan-08,43159,14290,34374,33.11,41.57,-52,-0.36,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2022 15:00:00,Jan-08,42379,13811,34374,32.59,40.18,-479,-3.35,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2022 16:00:00,Jan-08,41801,13545,34374,32.40,39.40,-267,-1.93,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2022 17:00:00,Jan-08,41614,13836,34374,33.25,40.25,291,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2022 18:00:00,Jan-08,42002,12530,34374,29.83,36.45,-1305,-9.43,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2022 19:00:00,Jan-08,42649,12249,34374,28.72,35.64,-281,-2.24,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2022 20:00:00,Jan-08,42067,13734,34374,32.65,39.95,1484,12.12,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2022 21:00:00,Jan-08,41193,15777,34374,38.30,45.90,2043,14.88,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2022 22:00:00,Jan-08,40293,17282,34374,42.89,50.28,1505,9.54,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2022 23:00:00,Jan-08,38986,18396,34374,47.19,53.52,1114,6.45,,,,,,,,,,,,,,,,,,,,,,,,,,
01/09/2022 00:00:00,Jan-08,37429,17722,34374,47.35,51.56,-674,-3.67,,,,,,,,,,,,,,,,,,,,,,,,,,
01/09/2022 01:00:00,Jan-09,36016,16980,34374,47.15,49.40,-742,-4.19,,,,,,,,,,,,,,,,,,,,,,,,,,
01/09/2022 02:00:00,Jan-09,35063,17196,34374,49.04,50.03,216,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,
01/09/2022 03:00:00,Jan-09,34590,18144,34374,52.45,52.78,948,5.51,,,,,,,,,,,,,,,,,,,,,,,,,,
01/09/2022 04:00:00,Jan-09,34492,19087,34374,55.34,55.53,943,5.20,,,,,,,,,,,,,,,,,,,,,,,,,,
01/09/2022 05:00:00,Jan-09,34557,19473,34374,56.35,56.65,386,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,
01/09/2022 06:00:00,Jan-09,35117,20230,34374,57.61,58.85,757,3.89,,,,,,,,,,,,,,,,,,,,,,,,,,
